Scénario;Years;Parametre;Aéroport;Emission
S2: Sobriété;27/07/2040;PACE;Secteur aéroportuaire wallon (SOWAER);0,45
S2: Sobriété;28/07/2041;PACE;Secteur aéroportuaire wallon (SOWAER);0,46
S2: Sobriété;29/07/2042;PACE;Secteur aéroportuaire wallon (SOWAER);0,46
S2: Sobriété;30/07/2043;PACE;Secteur aéroportuaire wallon (SOWAER);0,46
S2: Sobriété;30/07/2044;PACE;Secteur aéroportuaire wallon (SOWAER);0,47
S2: Sobriété;31/07/2045;PACE;Secteur aéroportuaire wallon (SOWAER);0,47
S2: Sobriété;01/08/2046;PACE;Secteur aéroportuaire wallon (SOWAER);0,47
S2: Sobriété;02/08/2047;PACE;Secteur aéroportuaire wallon (SOWAER);0,48
S2: Sobriété;02/08/2048;PACE;Secteur aéroportuaire wallon (SOWAER);0,48
S2: Sobriété;03/08/2049;PACE;Secteur aéroportuaire wallon (SOWAER);0,48
S2: Sobriété;04/08/2050;PACE;Secteur aéroportuaire wallon (SOWAER);0,49
Business As Usual;14/07/2022;PACE;Liège;903,03
Business As Usual;15/07/2023;PACE;Liège;945,74
Business As Usual;15/07/2024;PACE;Liège;990,48
Business As Usual;16/07/2025;PACE;Liège;1 037,33
Business As Usual;17/07/2026;PACE;Liège;1 086,39
Business As Usual;18/07/2027;PACE;Liège;1 137,78
Business As Usual;18/07/2028;PACE;Liège;1 191,60
Business As Usual;19/07/2029;PACE;Liège;1 247,96
Business As Usual;20/07/2030;PACE;Liège;1 306,99
Business As Usual;21/07/2031;PACE;Liège;1 368,81
Business As Usual;21/07/2032;PACE;Liège;1 433,55
Business As Usual;22/07/2033;PACE;Liège;1 501,36
Business As Usual;23/07/2034;PACE;Liège;1 572,37
Business As Usual;24/07/2035;PACE;Liège;1 646,75
Business As Usual;24/07/2036;PACE;Liège;1 724,64
Business As Usual;25/07/2037;PACE;Liège;1 806,21
Business As Usual;26/07/2038;PACE;Liège;1 891,65
Business As Usual;27/07/2039;PACE;Liège;1 981,12
Business As Usual;27/07/2040;PACE;Liège;2 074,83
Business As Usual;28/07/2041;PACE;Liège;2 172,97
Business As Usual;29/07/2042;PACE;Liège;2 275,75
Business As Usual;30/07/2043;PACE;Liège;2 383,39
Business As Usual;30/07/2044;PACE;Liège;2 496,13
Business As Usual;31/07/2045;PACE;Liège;2 614,19
Business As Usual;01/08/2046;PACE;Liège;2 737,84
Business As Usual;02/08/2047;PACE;Liège;2 867,34
Business As Usual;02/08/2048;PACE;Liège;3 002,97
Business As Usual;03/08/2049;PACE;Liège;3 145,01
Business As Usual;04/08/2050;PACE;Liège;3 145,01
S0: Référence;14/07/2022;PACE;Liège;903,03
S0: Référence;15/07/2023;PACE;Liège;756,62
S0: Référence;15/07/2024;PACE;Liège;546,77
S0: Référence;16/07/2025;PACE;Liège;326,62
S0: Référence;17/07/2026;PACE;Liège;155,22
S0: Référence;18/07/2027;PACE;Liège;54,72
S0: Référence;18/07/2028;PACE;Liège;12,75
S0: Référence;19/07/2029;PACE;Liège;1,46
S0: Référence;20/07/2030;PACE;Liège;0,00
S0: Référence;21/07/2031;PACE;Liège;0,00
S0: Référence;21/07/2032;PACE;Liège;0,00
S0: Référence;22/07/2033;PACE;Liège;0,00
S0: Référence;23/07/2034;PACE;Liège;0,00
S0: Référence;24/07/2035;PACE;Liège;0,00
S0: Référence;24/07/2036;PACE;Liège;0,00
S0: Référence;25/07/2037;PACE;Liège;0,00
S0: Référence;26/07/2038;PACE;Liège;0,00
S0: Référence;27/07/2039;PACE;Liège;0,00
S0: Référence;27/07/2040;PACE;Liège;0,00
S0: Référence;28/07/2041;PACE;Liège;0,00
S0: Référence;29/07/2042;PACE;Liège;0,00
S0: Référence;30/07/2043;PACE;Liège;0,00
S0: Référence;30/07/2044;PACE;Liège;0,00
S0: Référence;31/07/2045;PACE;Liège;0,00
S0: Référence;01/08/2046;PACE;Liège;0,00
S0: Référence;02/08/2047;PACE;Liège;0,00
S0: Référence;02/08/2048;PACE;Liège;0,00
S0: Référence;03/08/2049;PACE;Liège;0,00
S0: Référence;04/08/2050;PACE;Liège;0,00
S1: Rupture technologique;14/07/2022;PACE;Liège;903,03
S1: Rupture technologique;15/07/2023;PACE;Liège;756,62
S1: Rupture technologique;15/07/2024;PACE;Liège;546,77
S1: Rupture technologique;16/07/2025;PACE;Liège;326,62
S1: Rupture technologique;17/07/2026;PACE;Liège;155,22
S1: Rupture technologique;18/07/2027;PACE;Liège;54,72
S1: Rupture technologique;18/07/2028;PACE;Liège;12,75
S1: Rupture technologique;19/07/2029;PACE;Liège;1,46
S1: Rupture technologique;20/07/2030;PACE;Liège;0,00
S1: Rupture technologique;21/07/2031;PACE;Liège;0,00
S1: Rupture technologique;21/07/2032;PACE;Liège;0,00
S1: Rupture technologique;22/07/2033;PACE;Liège;0,00
S1: Rupture technologique;23/07/2034;PACE;Liège;0,00
S1: Rupture technologique;24/07/2035;PACE;Liège;0,00
S1: Rupture technologique;24/07/2036;PACE;Liège;0,00
S1: Rupture technologique;25/07/2037;PACE;Liège;0,00
S1: Rupture technologique;26/07/2038;PACE;Liège;0,00
S1: Rupture technologique;27/07/2039;PACE;Liège;0,00
S1: Rupture technologique;27/07/2040;PACE;Liège;0,00
S1: Rupture technologique;28/07/2041;PACE;Liège;0,00
S1: Rupture technologique;29/07/2042;PACE;Liège;0,00
S1: Rupture technologique;30/07/2043;PACE;Liège;0,00
S1: Rupture technologique;30/07/2044;PACE;Liège;0,00
S1: Rupture technologique;31/07/2045;PACE;Liège;0,00
S1: Rupture technologique;01/08/2046;PACE;Liège;0,00
S1: Rupture technologique;02/08/2047;PACE;Liège;0,00
S1: Rupture technologique;02/08/2048;PACE;Liège;0,00
S1: Rupture technologique;03/08/2049;PACE;Liège;0,00
S1: Rupture technologique;04/08/2050;PACE;Liège;0,00
S3: Tous leviers;14/07/2022;PACE;Liège;903,03
S3: Tous leviers;15/07/2023;PACE;Liège;746,14
S3: Tous leviers;15/07/2024;PACE;Liège;531,73
S3: Tous leviers;16/07/2025;PACE;Liège;313,24
S3: Tous leviers;17/07/2026;PACE;Liège;146,80
S3: Tous leviers;18/07/2027;PACE;Liège;51,03
S3: Tous leviers;18/07/2028;PACE;Liège;11,73
S3: Tous leviers;19/07/2029;PACE;Liège;1,33
S3: Tous leviers;20/07/2030;PACE;Liège;0,00
S3: Tous leviers;21/07/2031;PACE;Liège;0,00
S3: Tous leviers;21/07/2032;PACE;Liège;0,00
S3: Tous leviers;22/07/2033;PACE;Liège;0,00
S3: Tous leviers;23/07/2034;PACE;Liège;0,00
S3: Tous leviers;24/07/2035;PACE;Liège;0,00
S3: Tous leviers;24/07/2036;PACE;Liège;0,00
S3: Tous leviers;25/07/2037;PACE;Liège;0,00
S3: Tous leviers;26/07/2038;PACE;Liège;0,00
S3: Tous leviers;27/07/2039;PACE;Liège;0,00
S3: Tous leviers;27/07/2040;PACE;Liège;0,00
S3: Tous leviers;28/07/2041;PACE;Liège;0,00
S3: Tous leviers;29/07/2042;PACE;Liège;0,00
S3: Tous leviers;30/07/2043;PACE;Liège;0,00
S3: Tous leviers;30/07/2044;PACE;Liège;0,00
S3: Tous leviers;31/07/2045;PACE;Liège;0,00
S3: Tous leviers;01/08/2046;PACE;Liège;0,00
S3: Tous leviers;02/08/2047;PACE;Liège;0,00
S3: Tous leviers;02/08/2048;PACE;Liège;0,00
S3: Tous leviers;03/08/2049;PACE;Liège;0,00
S3: Tous leviers;04/08/2050;PACE;Liège;0,00
S2: Sobriété;14/07/2022;PACE;Liège;903,03
S2: Sobriété;15/07/2023;PACE;Liège;729,67
S2: Sobriété;15/07/2024;PACE;Liège;508,51
S2: Sobriété;16/07/2025;PACE;Liège;292,95
S2: Sobriété;17/07/2026;PACE;Liège;134,26
S2: Sobriété;18/07/2027;PACE;Liège;45,64
S2: Sobriété;18/07/2028;PACE;Liège;10,26
S2: Sobriété;19/07/2029;PACE;Liège;1,13
S2: Sobriété;20/07/2030;PACE;Liège;0,00
S2: Sobriété;21/07/2031;PACE;Liège;0,00
S2: Sobriété;21/07/2032;PACE;Liège;0,00
S2: Sobriété;22/07/2033;PACE;Liège;0,00
S2: Sobriété;23/07/2034;PACE;Liège;0,00
S2: Sobriété;24/07/2035;PACE;Liège;0,00
S2: Sobriété;24/07/2036;PACE;Liège;0,00
S2: Sobriété;25/07/2037;PACE;Liège;0,00
S2: Sobriété;26/07/2038;PACE;Liège;0,00
S2: Sobriété;27/07/2039;PACE;Liège;0,00
S2: Sobriété;27/07/2040;PACE;Liège;0,00
S2: Sobriété;28/07/2041;PACE;Liège;0,00
S2: Sobriété;29/07/2042;PACE;Liège;0,00
S2: Sobriété;30/07/2043;PACE;Liège;0,00
S2: Sobriété;30/07/2044;PACE;Liège;0,00
S2: Sobriété;31/07/2045;PACE;Liège;0,00
S2: Sobriété;01/08/2046;PACE;Liège;0,00
S2: Sobriété;02/08/2047;PACE;Liège;0,00
S2: Sobriété;02/08/2048;PACE;Liège;0,00
S2: Sobriété;03/08/2049;PACE;Liège;0,00
S2: Sobriété;04/08/2050;PACE;Liège;0,00
Business As Usual;2022;PACE;Charleroi;1 827,10
Business As Usual;2023;PACE;Charleroi;1 870,95
Business As Usual;2024;PACE;Charleroi;1 915,85
Business As Usual;2025;PACE;Charleroi;1 961,83
Business As Usual;2026;PACE;Charleroi;2 008,92
Business As Usual;2027;PACE;Charleroi;2 057,13
Business As Usual;2028;PACE;Charleroi;2 106,50
Business As Usual;2029;PACE;Charleroi;2 157,06
Business As Usual;2030;PACE;Charleroi;2 208,83
Business As Usual;2031;PACE;Charleroi;2 261,84
Business As Usual;2032;PACE;Charleroi;2 316,12
Business As Usual;2033;PACE;Charleroi;2 371,71
Business As Usual;2034;PACE;Charleroi;2 428,63
Business As Usual;2035;PACE;Charleroi;2 486,92
Business As Usual;2036;PACE;Charleroi;2 546,61
Business As Usual;2037;PACE;Charleroi;2 607,72
Business As Usual;2038;PACE;Charleroi;2 670,31
Business As Usual;2039;PACE;Charleroi;2 734,40
Business As Usual;2040;PACE;Charleroi;2 800,02
Business As Usual;2041;PACE;Charleroi;2 867,22
Business As Usual;2042;PACE;Charleroi;2 936,04
Business As Usual;2043;PACE;Charleroi;3 006,50
Business As Usual;2044;PACE;Charleroi;3 078,66
Business As Usual;2045;PACE;Charleroi;3 152,55
Business As Usual;2046;PACE;Charleroi;3 228,21
Business As Usual;2047;PACE;Charleroi;3 305,68
Business As Usual;2048;PACE;Charleroi;3 385,02
Business As Usual;2049;PACE;Charleroi;3 466,26
Business As Usual;2050;PACE;Charleroi;3 549,45
S0: Référence;2022;PACE;Charleroi;1 827,10
S0: Référence;2023;PACE;Charleroi;1 544,56
S0: Référence;2024;PACE;Charleroi;1 160,53
S0: Référence;2025;PACE;Charleroi;718,30
S0: Référence;2026;PACE;Charleroi;355,25
S0: Référence;2027;PACE;Charleroi;117,04
S0: Référence;2028;PACE;Charleroi;25,00
S0: Référence;2029;PACE;Charleroi;2,57
S0: Référence;2030;PACE;Charleroi;0,00
S0: Référence;2031;PACE;Charleroi;0,00
S0: Référence;2032;PACE;Charleroi;0,00
S0: Référence;2033;PACE;Charleroi;0,00
S0: Référence;2034;PACE;Charleroi;0,00
S0: Référence;2035;PACE;Charleroi;0,00
S0: Référence;2036;PACE;Charleroi;0,00
S0: Référence;2037;PACE;Charleroi;0,00
S0: Référence;2038;PACE;Charleroi;0,00
S0: Référence;2039;PACE;Charleroi;0,00
S0: Référence;2040;PACE;Charleroi;0,00
S0: Référence;2041;PACE;Charleroi;0,00
S0: Référence;2042;PACE;Charleroi;0,00
S0: Référence;2043;PACE;Charleroi;0,00
S0: Référence;2044;PACE;Charleroi;0,00
S0: Référence;2045;PACE;Charleroi;0,00
S0: Référence;2046;PACE;Charleroi;0,00
S0: Référence;2047;PACE;Charleroi;0,00
S0: Référence;2048;PACE;Charleroi;0,00
S0: Référence;2049;PACE;Charleroi;0,00
S0: Référence;2050;PACE;Charleroi;0,00
S1: Rupture technologique;2022;PACE;Charleroi;1 827,10
S1: Rupture technologique;2023;PACE;Charleroi;1 595,05
S1: Rupture technologique;2024;PACE;Charleroi;1 187,70
S1: Rupture technologique;2025;PACE;Charleroi;736,26
S1: Rupture technologique;2026;PACE;Charleroi;364,74
S1: Rupture technologique;2027;PACE;Charleroi;127,18
S1: Rupture technologique;2028;PACE;Charleroi;27,67
S1: Rupture technologique;2029;PACE;Charleroi;2,91
S1: Rupture technologique;2030;PACE;Charleroi;0,00
S1: Rupture technologique;2031;PACE;Charleroi;0,00
S1: Rupture technologique;2032;PACE;Charleroi;0,00
S1: Rupture technologique;2033;PACE;Charleroi;0,00
S1: Rupture technologique;2034;PACE;Charleroi;0,00
S1: Rupture technologique;2035;PACE;Charleroi;0,00
S1: Rupture technologique;2036;PACE;Charleroi;0,00
S1: Rupture technologique;2037;PACE;Charleroi;0,00
S1: Rupture technologique;2038;PACE;Charleroi;0,00
S1: Rupture technologique;2039;PACE;Charleroi;0,00
S1: Rupture technologique;2040;PACE;Charleroi;0,00
S1: Rupture technologique;2041;PACE;Charleroi;0,00
S1: Rupture technologique;2042;PACE;Charleroi;0,00
S1: Rupture technologique;2043;PACE;Charleroi;0,00
S1: Rupture technologique;2044;PACE;Charleroi;0,00
S1: Rupture technologique;2045;PACE;Charleroi;0,00
S1: Rupture technologique;2046;PACE;Charleroi;0,00
S1: Rupture technologique;2047;PACE;Charleroi;0,00
S1: Rupture technologique;2048;PACE;Charleroi;0,00
S1: Rupture technologique;2049;PACE;Charleroi;0,00
S1: Rupture technologique;2050;PACE;Charleroi;0,00
S3: Tous leviers;2022;PACE;Charleroi;1 827,10
S3: Tous leviers;2023;PACE;Charleroi;1 588,56
S3: Tous leviers;2024;PACE;Charleroi;1 177,77
S3: Tous leviers;2025;PACE;Charleroi;726,76
S3: Tous leviers;2026;PACE;Charleroi;358,28
S3: Tous leviers;2027;PACE;Charleroi;124,37
S3: Tous leviers;2028;PACE;Charleroi;26,89
S3: Tous leviers;2029;PACE;Charleroi;2,81
S3: Tous leviers;2030;PACE;Charleroi;0,00
S3: Tous leviers;2031;PACE;Charleroi;0,00
S3: Tous leviers;2032;PACE;Charleroi;0,00
S3: Tous leviers;2033;PACE;Charleroi;0,00
S3: Tous leviers;2034;PACE;Charleroi;0,00
S3: Tous leviers;2035;PACE;Charleroi;0,00
S3: Tous leviers;2036;PACE;Charleroi;0,00
S3: Tous leviers;2037;PACE;Charleroi;0,00
S3: Tous leviers;2038;PACE;Charleroi;0,00
S3: Tous leviers;2039;PACE;Charleroi;0,00
S3: Tous leviers;2040;PACE;Charleroi;0,00
S3: Tous leviers;2041;PACE;Charleroi;0,00
S3: Tous leviers;2042;PACE;Charleroi;0,00
S3: Tous leviers;2043;PACE;Charleroi;0,00
S3: Tous leviers;2044;PACE;Charleroi;0,00
S3: Tous leviers;2045;PACE;Charleroi;0,00
S3: Tous leviers;2046;PACE;Charleroi;0,00
S3: Tous leviers;2047;PACE;Charleroi;0,00
S3: Tous leviers;2048;PACE;Charleroi;0,00
S3: Tous leviers;2049;PACE;Charleroi;0,00
S3: Tous leviers;2050;PACE;Charleroi;0,00
S2: Sobriété;2022;PACE;Charleroi;1 827,10
S2: Sobriété;2023;PACE;Charleroi;1 579,35
S2: Sobriété;2024;PACE;Charleroi;1 163,85
S2: Sobriété;2025;PACE;Charleroi;713,66
S2: Sobriété;2026;PACE;Charleroi;349,61
S2: Sobriété;2027;PACE;Charleroi;120,86
S2: Sobriété;2028;PACE;Charleroi;26,23
S2: Sobriété;2029;PACE;Charleroi;3,09
S2: Sobriété;2030;PACE;Charleroi;0,42
S2: Sobriété;2031;PACE;Charleroi;0,43
S2: Sobriété;2032;PACE;Charleroi;0,43
S2: Sobriété;2033;PACE;Charleroi;0,43
S2: Sobriété;2034;PACE;Charleroi;0,43
S2: Sobriété;2035;PACE;Charleroi;0,44
S2: Sobriété;2036;PACE;Charleroi;0,44
S2: Sobriété;2037;PACE;Charleroi;0,44
S2: Sobriété;2038;PACE;Charleroi;0,45
S2: Sobriété;2039;PACE;Charleroi;0,45
S2: Sobriété;2040;PACE;Charleroi;0,45
S2: Sobriété;2041;PACE;Charleroi;0,46
S2: Sobriété;2042;PACE;Charleroi;0,46
S2: Sobriété;2043;PACE;Charleroi;0,46
S2: Sobriété;2044;PACE;Charleroi;0,47
S2: Sobriété;2045;PACE;Charleroi;0,47
S2: Sobriété;2046;PACE;Charleroi;0,47
S2: Sobriété;2047;PACE;Charleroi;0,48
S2: Sobriété;2048;PACE;Charleroi;0,48
S2: Sobriété;2049;PACE;Charleroi;0,48
S2: Sobriété;2050;PACE;Charleroi;0,49
Business As Usual;14/07/2022;ACA 3;Secteur aéroportuaire wallon (SOWAER);138 151,73
Business As Usual;15/07/2023;ACA 3;Secteur aéroportuaire wallon (SOWAER);142 919,92
Business As Usual;15/07/2024;ACA 3;Secteur aéroportuaire wallon (SOWAER);147 866,34
Business As Usual;16/07/2025;ACA 3;Secteur aéroportuaire wallon (SOWAER);153 053,24
Business As Usual;17/07/2026;ACA 3;Secteur aéroportuaire wallon (SOWAER);158 463,83
Business As Usual;18/07/2027;ACA 3;Secteur aéroportuaire wallon (SOWAER);164 092,52
Business As Usual;18/07/2028;ACA 3;Secteur aéroportuaire wallon (SOWAER);169 949,62
Business As Usual;19/07/2029;ACA 3;Secteur aéroportuaire wallon (SOWAER);176 044,03
Business As Usual;20/07/2030;ACA 3;Secteur aéroportuaire wallon (SOWAER);182 385,57
Business As Usual;21/07/2031;ACA 3;Secteur aéroportuaire wallon (SOWAER);188 984,48
Business As Usual;21/07/2032;ACA 3;Secteur aéroportuaire wallon (SOWAER);195 852,41
Business As Usual;22/07/2033;ACA 3;Secteur aéroportuaire wallon (SOWAER);203 001,39
Business As Usual;23/07/2034;ACA 3;Secteur aéroportuaire wallon (SOWAER);210 442,82
Business As Usual;24/07/2035;ACA 3;Secteur aéroportuaire wallon (SOWAER);218 190,80
Business As Usual;24/07/2036;ACA 3;Secteur aéroportuaire wallon (SOWAER);226 257,45
Business As Usual;25/07/2037;ACA 3;Secteur aéroportuaire wallon (SOWAER);234 657,71
Business As Usual;26/07/2038;ACA 3;Secteur aéroportuaire wallon (SOWAER);243 406,49
Business As Usual;27/07/2039;ACA 3;Secteur aéroportuaire wallon (SOWAER);252 517,83
Business As Usual;27/07/2040;ACA 3;Secteur aéroportuaire wallon (SOWAER);262 007,49
Business As Usual;28/07/2041;ACA 3;Secteur aéroportuaire wallon (SOWAER);271 876,95
Business As Usual;29/07/2042;ACA 3;Secteur aéroportuaire wallon (SOWAER);282 142,09
Business As Usual;30/07/2043;ACA 3;Secteur aéroportuaire wallon (SOWAER);292 819,49
Business As Usual;30/07/2044;ACA 3;Secteur aéroportuaire wallon (SOWAER);303 926,42
Business As Usual;31/07/2045;ACA 3;Secteur aéroportuaire wallon (SOWAER);315 480,94
Business As Usual;01/08/2046;ACA 3;Secteur aéroportuaire wallon (SOWAER);327 501,85
Business As Usual;02/08/2047;ACA 3;Secteur aéroportuaire wallon (SOWAER);340 008,77
Business As Usual;02/08/2048;ACA 3;Secteur aéroportuaire wallon (SOWAER);353 022,19
Business As Usual;03/08/2049;ACA 3;Secteur aéroportuaire wallon (SOWAER);366 538,23
Business As Usual;04/08/2050;ACA 3;Secteur aéroportuaire wallon (SOWAER);368 992,04
S0: Référence;14/07/2022;ACA 3;Secteur aéroportuaire wallon (SOWAER);138 151,73
S0: Référence;15/07/2023;ACA 3;Secteur aéroportuaire wallon (SOWAER);138 101,45
S0: Référence;15/07/2024;ACA 3;Secteur aéroportuaire wallon (SOWAER);137 183,17
S0: Référence;16/07/2025;ACA 3;Secteur aéroportuaire wallon (SOWAER);134 450,23
S0: Référence;17/07/2026;ACA 3;Secteur aéroportuaire wallon (SOWAER);134 090,46
S0: Référence;18/07/2027;ACA 3;Secteur aéroportuaire wallon (SOWAER);132 402,80
S0: Référence;18/07/2028;ACA 3;Secteur aéroportuaire wallon (SOWAER);131 027,29
S0: Référence;19/07/2029;ACA 3;Secteur aéroportuaire wallon (SOWAER);129 985,63
S0: Référence;20/07/2030;ACA 3;Secteur aéroportuaire wallon (SOWAER);129 427,81
S0: Référence;21/07/2031;ACA 3;Secteur aéroportuaire wallon (SOWAER);129 228,01
S0: Référence;21/07/2032;ACA 3;Secteur aéroportuaire wallon (SOWAER);129 924,34
S0: Référence;22/07/2033;ACA 3;Secteur aéroportuaire wallon (SOWAER);131 238,64
S0: Référence;23/07/2034;ACA 3;Secteur aéroportuaire wallon (SOWAER);133 065,20
S0: Référence;24/07/2035;ACA 3;Secteur aéroportuaire wallon (SOWAER);135 303,02
S0: Référence;24/07/2036;ACA 3;Secteur aéroportuaire wallon (SOWAER);137 002,24
S0: Référence;25/07/2037;ACA 3;Secteur aéroportuaire wallon (SOWAER);139 931,03
S0: Référence;26/07/2038;ACA 3;Secteur aéroportuaire wallon (SOWAER);142 268,41
S0: Référence;27/07/2039;ACA 3;Secteur aéroportuaire wallon (SOWAER);143 856,40
S0: Référence;27/07/2040;ACA 3;Secteur aéroportuaire wallon (SOWAER);144 705,49
S0: Référence;28/07/2041;ACA 3;Secteur aéroportuaire wallon (SOWAER);145 597,73
S0: Référence;29/07/2042;ACA 3;Secteur aéroportuaire wallon (SOWAER);146 042,05
S0: Référence;30/07/2043;ACA 3;Secteur aéroportuaire wallon (SOWAER);145 749,16
S0: Référence;30/07/2044;ACA 3;Secteur aéroportuaire wallon (SOWAER);144 927,57
S0: Référence;31/07/2045;ACA 3;Secteur aéroportuaire wallon (SOWAER);143 508,18
S0: Référence;01/08/2046;ACA 3;Secteur aéroportuaire wallon (SOWAER);141 738,92
S0: Référence;02/08/2047;ACA 3;Secteur aéroportuaire wallon (SOWAER);139 552,39
S0: Référence;02/08/2048;ACA 3;Secteur aéroportuaire wallon (SOWAER);137 219,01
S0: Référence;03/08/2049;ACA 3;Secteur aéroportuaire wallon (SOWAER);134 654,04
S0: Référence;04/08/2050;ACA 3;Secteur aéroportuaire wallon (SOWAER);125 983,87
S1: Rupture technologique;14/07/2022;ACA 3;Secteur aéroportuaire wallon (SOWAER);138 151,73
S1: Rupture technologique;15/07/2023;ACA 3;Secteur aéroportuaire wallon (SOWAER);137 830,27
S1: Rupture technologique;15/07/2024;ACA 3;Secteur aéroportuaire wallon (SOWAER);136 189,52
S1: Rupture technologique;16/07/2025;ACA 3;Secteur aéroportuaire wallon (SOWAER);131 873,04
S1: Rupture technologique;17/07/2026;ACA 3;Secteur aéroportuaire wallon (SOWAER);127 139,29
S1: Rupture technologique;18/07/2027;ACA 3;Secteur aéroportuaire wallon (SOWAER);122 406,33
S1: Rupture technologique;18/07/2028;ACA 3;Secteur aéroportuaire wallon (SOWAER);117 965,72
S1: Rupture technologique;19/07/2029;ACA 3;Secteur aéroportuaire wallon (SOWAER);113 813,76
S1: Rupture technologique;20/07/2030;ACA 3;Secteur aéroportuaire wallon (SOWAER);107 101,41
S1: Rupture technologique;21/07/2031;ACA 3;Secteur aéroportuaire wallon (SOWAER);101 471,53
S1: Rupture technologique;21/07/2032;ACA 3;Secteur aéroportuaire wallon (SOWAER);96 719,46
S1: Rupture technologique;22/07/2033;ACA 3;Secteur aéroportuaire wallon (SOWAER);92 541,09
S1: Rupture technologique;23/07/2034;ACA 3;Secteur aéroportuaire wallon (SOWAER);88 891,58
S1: Rupture technologique;24/07/2035;ACA 3;Secteur aéroportuaire wallon (SOWAER);78 833,98
S1: Rupture technologique;24/07/2036;ACA 3;Secteur aéroportuaire wallon (SOWAER);70 823,19
S1: Rupture technologique;25/07/2037;ACA 3;Secteur aéroportuaire wallon (SOWAER);64 494,35
S1: Rupture technologique;26/07/2038;ACA 3;Secteur aéroportuaire wallon (SOWAER);59 349,85
S1: Rupture technologique;27/07/2039;ACA 3;Secteur aéroportuaire wallon (SOWAER);55 173,93
S1: Rupture technologique;27/07/2040;ACA 3;Secteur aéroportuaire wallon (SOWAER);49 977,23
S1: Rupture technologique;28/07/2041;ACA 3;Secteur aéroportuaire wallon (SOWAER);47 777,55
S1: Rupture technologique;29/07/2042;ACA 3;Secteur aéroportuaire wallon (SOWAER);47 129,02
S1: Rupture technologique;30/07/2043;ACA 3;Secteur aéroportuaire wallon (SOWAER);47 258,35
S1: Rupture technologique;30/07/2044;ACA 3;Secteur aéroportuaire wallon (SOWAER);48 018,62
S1: Rupture technologique;31/07/2045;ACA 3;Secteur aéroportuaire wallon (SOWAER);48 984,58
S1: Rupture technologique;01/08/2046;ACA 3;Secteur aéroportuaire wallon (SOWAER);50 357,98
S1: Rupture technologique;02/08/2047;ACA 3;Secteur aéroportuaire wallon (SOWAER);51 844,46
S1: Rupture technologique;02/08/2048;ACA 3;Secteur aéroportuaire wallon (SOWAER);53 546,04
S1: Rupture technologique;03/08/2049;ACA 3;Secteur aéroportuaire wallon (SOWAER);55 244,25
S1: Rupture technologique;04/08/2050;ACA 3;Secteur aéroportuaire wallon (SOWAER);54 413,32
S3: Tous leviers;14/07/2022;ACA 3;Secteur aéroportuaire wallon (SOWAER);138 151,73
S3: Tous leviers;15/07/2023;ACA 3;Secteur aéroportuaire wallon (SOWAER);136 781,03
S3: Tous leviers;15/07/2024;ACA 3;Secteur aéroportuaire wallon (SOWAER);134 150,59
S3: Tous leviers;16/07/2025;ACA 3;Secteur aéroportuaire wallon (SOWAER);128 990,95
S3: Tous leviers;17/07/2026;ACA 3;Secteur aéroportuaire wallon (SOWAER);123 510,58
S3: Tous leviers;18/07/2027;ACA 3;Secteur aéroportuaire wallon (SOWAER);118 083,97
S3: Tous leviers;18/07/2028;ACA 3;Secteur aéroportuaire wallon (SOWAER);112 958,48
S3: Tous leviers;19/07/2029;ACA 3;Secteur aéroportuaire wallon (SOWAER);108 111,39
S3: Tous leviers;20/07/2030;ACA 3;Secteur aéroportuaire wallon (SOWAER);100 791,87
S3: Tous leviers;21/07/2031;ACA 3;Secteur aéroportuaire wallon (SOWAER);94 513,31
S3: Tous leviers;21/07/2032;ACA 3;Secteur aéroportuaire wallon (SOWAER);88 996,89
S3: Tous leviers;22/07/2033;ACA 3;Secteur aéroportuaire wallon (SOWAER);84 070,39
S3: Tous leviers;23/07/2034;ACA 3;Secteur aéroportuaire wallon (SOWAER);79 760,28
S3: Tous leviers;24/07/2035;ACA 3;Secteur aéroportuaire wallon (SOWAER);69 689,97
S3: Tous leviers;24/07/2036;ACA 3;Secteur aéroportuaire wallon (SOWAER);61 667,84
S3: Tous leviers;25/07/2037;ACA 3;Secteur aéroportuaire wallon (SOWAER);55 255,74
S3: Tous leviers;26/07/2038;ACA 3;Secteur aéroportuaire wallon (SOWAER);49 987,73
S3: Tous leviers;27/07/2039;ACA 3;Secteur aéroportuaire wallon (SOWAER);45 654,72
S3: Tous leviers;27/07/2040;ACA 3;Secteur aéroportuaire wallon (SOWAER);40 415,31
S3: Tous leviers;28/07/2041;ACA 3;Secteur aéroportuaire wallon (SOWAER);37 779,75
S3: Tous leviers;29/07/2042;ACA 3;Secteur aéroportuaire wallon (SOWAER);36 503,88
S3: Tous leviers;30/07/2043;ACA 3;Secteur aéroportuaire wallon (SOWAER);35 919,00
S3: Tous leviers;30/07/2044;ACA 3;Secteur aéroportuaire wallon (SOWAER);35 865,52
S3: Tous leviers;31/07/2045;ACA 3;Secteur aéroportuaire wallon (SOWAER);35 978,40
S3: Tous leviers;01/08/2046;ACA 3;Secteur aéroportuaire wallon (SOWAER);36 414,33
S3: Tous leviers;02/08/2047;ACA 3;Secteur aéroportuaire wallon (SOWAER);36 935,52
S3: Tous leviers;02/08/2048;ACA 3;Secteur aéroportuaire wallon (SOWAER);37 599,42
