Scope  ;CO2e emission source                                                                            ;Sub category                       ;Source                             ;emission type                           ;year ;quantity     ;quantity_unit ;emission_factor ;emission_factor_unit   ;emission_value_tCO2e;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Véhicules et équipements au sol    ;Véhicules SABENA & WFS             ;Gasoil routier                          ;2022;3733,75;L             ;2,49;kgCO2e/L               ;9,30;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des salariés des partenaires ;Véhicules                          ;Voiture Diesel                          ;2022;73017,86;km            ;0,15;kgCO2e/km              ;10,95;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des salariés des partenaires ;Véhicules                          ;Voiture Essence                         ;2022;211122,32;km            ;0,16;kgCO2e/km              ;34,20;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des salariés des partenaires ;Véhicules                          ;Voiture Hybride essence                 ;2022;27696,43;km            ;0,15;kgCO2e/km              ;4,18;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des salariés des partenaires ;Véhicules                          ;Bus                                     ;2022;1762,50;km            ;0,08;kgCO2e/passager.km     ;0,15;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des salariés des partenaires ;Véhicules                          ;Moto                                    ;2022;7553,57;km            ;0,14;kgCO2e/km              ;1,03;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des salariés des partenaires ;Véhicules                          ;Vélo/à pieds                            ;2022;20940,18;km            ;0,00;kgCO2e/km              ;0,00;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des passagers                ;Bus                                ;Diesel / Hybride                        ;2022;1686843,46;km            ;0,07;kgCO2e/passager.km     ;121,70;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des passagers                ;Voiture                            ;Diesel / Essence / Hybride              ;2022;22169942,67;km            ;0,15;kgCO2e/km              ;3418,75;
scope3 ;Catégorie 11 : Utilisation des produits vendus                                                  ;Accès des passagers                ;Taxi                               ;Diesel / Essence / Hybride / Electrique ;2022;2650754,02;km            ;0,15;kgCO2e/km              ;397,52;
scope3 ;Catégorie 13: Actif loués en aval                                                               ;Electricité revendue aux tiers     ;Electricité                        ;Electricité renouvelable                ;2022;157009,00;kWh           ;0,00;kgCO2e/kWh             ;0,00;
scope1 ;mobile                                                                                          ;Location & Market Based            ;Véhicules                          ;Gasoil                                  ;2018;3646,00;L             ;2,49;kgCO2e/L               ;9,08;
scope1 ;mobile                                                                                          ;Location & Market Based            ;Véhicules                          ;Gasoil Non Routier                      ;2018;9093,00;L             ;2,57;kgCO2e/L               ;23,37;
scope1 ;mobile                                                                                          ;Location & Market Based            ;Véhicules                          ;Essence                                 ;2018;260,04;L             ;2,20;kgCO2e/L               ;0,57;
scope1 ;mobile                                                                                          ;Location & Market Based            ;Bouteille de Gaz                   ;Propane                                 ;2018;84,50;L             ;1,53;kgCO2e/L               ;0,13;
scope1 ;stationary                                                                                      ;Location & Market Based            ;Chaudières                         ;Fioul domestique                        ;2018;56658,00;L             ;2,68;kgCO2e/L               ;151,84;
scope1 ;mobile                                                                                          ;Location & Market Based            ;Véhicules                          ;Gasoil                                  ;2022;4908,00;L             ;0,00;kgCO2e/L               ;12,22;
scope1 ;mobile                                                                                          ;Location & Market Based            ;Véhicules                          ;Gasoil Non Routier                      ;2022;3529,00;L             ;0,00;kgCO2e/L               ;9,07;
scope1 ;mobile                                                                                          ;Location & Market Based            ;Véhicules                          ;Essence                                 ;2022;217,51;L             ;0,00;kgCO2e/L               ;0,48;
scope1 ;mobile                                                                                          ;Location & Market Based            ;Bouteille de Gaz                   ;Propane                                 ;2022;-            ;L             ;0,00;kgCO2e/L               ;-;
scope1 ;stationary                                                                                      ;Location & Market Based            ;Chaudières                         ;Fioul domestique                        ;2022;-            ;L             ;0,00;kgCO2e/L               ;-;
scope2 ;electricity                                                                                     ;Location Based                     ;Electricité                        ;Electricité                             ;2018;2014742,00;kWh           ;0,04;kgCO2e/kWh             ;79,58;
scope2 ;electricity                                                                                     ;Location Based                     ;Electricité                        ;Electricité                             ;2018;-            ;kWh           ;0,04;kgCO2e/kWh             ;-;
scope2 ;electricity                                                                                     ;Location Based                     ;Electricité                        ;Electricité renouvelable                ;2022;-            ;kWh           ;0,03;kgCO2e/kWh             ;-;
scope2 ;electricity                                                                                     ;Location Based                     ;Electricité                        ;Electricité renouvelable                ;2022;1890719,00;kWh           ;0,03;kgCO2e/kWh             ;63,91;
scope2 ;electricity                                                                                     ;Market Based                       ;Electricité                        ;Electricité                             ;2018;2014742,00;kWh           ;0,05;kgCO2e/kWh             ;107,14;
scope2 ;electricity                                                                                     ;Market Based                       ;Electricité                        ;Electricité                             ;2022;-            ;kWh           ;-               ;kgCO2e/kWh             ;-;
scope2 ;electricity                                                                                     ;Market Based                       ;Electricité                        ;Electricité renouvelable                ;2018;-            ;kWh           ;-               ;kgCO2e/kWh             ;-;
scope2 ;electricity                                                                                     ;Market Based                       ;Electricité                        ;Electricité renouvelable                ;2022;1890719,00;kWh           ;-               ;kgCO2e/kWh             ;-;
